# 0.2 sps, start/stop: 50/0 mA (5 s), channels: 4,,
# V min: 5.01683, V max: 5.02452,,,
# I min: 0.05477, I max: 0.08192,,,
Time,Voltage,Current,Capacity,Energy
2545,5.01995,0.08171,0.05784835,0.07267255
2550,5.01886,0.08173,0.05796185,0.072815
2555,5.01983,0.08174,0.05807538,0.07295754
2560,5.02202,0.08174,0.0581889,0.07310007
2565,5.02182,0.08172,0.05830242,0.07324257
2570,5.02225,0.08175,0.05841594,0.07338512
2575,5.02186,0.08174,0.05852947,0.07352766
2580,5.02229,0.08176,0.05864301,0.07367022
2585,5.02151,0.08174,0.05875656,0.07381277
2590,5.0226,0.08174,0.05887008,0.07395533
2595,5.02276,0.08179,0.05898365,0.07409795
2600,5.02206,0.08176,0.05909722,0.07424055
2605,5.02315,0.08176,0.05921078,0.07438316
2610,5.02331,0.08177,0.05932434,0.07452574
2615,5.02178,0.08179,0.05943792,0.07466838
2620,5.02257,0.08177,0.05955151,0.07481098
2625,5.02257,0.08175,0.05966506,0.07495354
2630,5.02225,0.08177,0.05977862,0.07509612
2635,5.02175,0.08176,0.05989218,0.07523869
2640,5.02214,0.08179,0.06000576,0.0753813
2645,5.02167,0.08179,0.06011935,0.07552394
2650,5.02249,0.08179,0.06023295,0.07566656
2655,5.02198,0.08177,0.06034653,0.07580915
2660,5.02225,0.08177,0.0604601,0.07595172
2665,5.02159,0.08174,0.06057365,0.07609425
2670,5.02175,0.08175,0.06068719,0.0762368
2675,5.02198,0.08174,0.06080072,0.07637933
2680,5.02159,0.08175,0.06091426,0.07652187
2685,5.02163,0.08177,0.06102781,0.07666445
2690,5.02202,0.08177,0.06114138,0.07680701
2695,5.02096,0.08176,0.06125494,0.07694959
2700,5.02249,0.08178,0.06136851,0.07709216
2705,5.02077,0.08176,0.06148208,0.07723473
2710,5.02182,0.08175,0.06159563,0.07737728
2715,5.02206,0.08175,0.06170917,0.07751982
2720,5.02159,0.08174,0.06182271,0.07766233
2725,5.021,0.08176,0.06193625,0.07780489
2730,5.02171,0.08177,0.06204981,0.07794748
2735,5.02233,0.08174,0.06216336,0.07808999
