# 0.2 sps, start/stop: 50/0 mA (5 s), channels: 5,,,
# V min: 5.01893, V max: 5.0246,,,,
# I min: 0.05424, I max: 0.08465,,,,
# P min: 0.27244101119999997, P max: 0.425093677,,,,
Time,Voltage,Current,Power,Capacity,Energy
1305,5.02018,0.08459,0.42465703,0.03067537,0.03858098
1310,5.02014,0.0846,0.42470384,0.03079286,0.03872845
1315,5.02057,0.08459,0.42469002,0.03091035,0.03887593
1320,5.02093,0.08459,0.42472047,0.03102784,0.03902343
1325,5.0219,0.08459,0.42480252,0.03114533,0.03917094
1330,5.02214,0.0846,0.42487304,0.03126282,0.03931847
1335,5.02257,0.08462,0.42500987,0.03138033,0.03946601
1340,5.02124,0.08462,0.42489733,0.03149786,0.03961352
1345,5.02057,0.08463,0.42489084,0.0316154,0.03976104
1350,5.02026,0.08462,0.4248144,0.03173293,0.03990854
1355,5.01995,0.08462,0.42478817,0.03185046,0.04005602
1360,5.01952,0.08461,0.42470159,0.03196798,0.04020351
1365,5.0203,0.08459,0.42466718,0.03208548,0.04035097
1370,5.02046,0.08463,0.42488153,0.03220299,0.04049851
1375,5.02069,0.08463,0.42490099,0.03232053,0.04064602
1380,5.01983,0.08457,0.42452702,0.03243803,0.04079346
1385,5.02108,0.08465,0.42503442,0.03255555,0.04094106
1390,5.02182,0.0846,0.42484597,0.03267308,0.04108857
1395,5.02151,0.08459,0.42476953,0.03279058,0.04123602
1400,5.02018,0.08461,0.42475743,0.03290808,0.04138356
1405,5.02214,0.08459,0.42482282,0.03302558,0.04153106
1410,5.02175,0.08462,0.42494048,0.03314308,0.04167863
1415,5.02249,0.08461,0.42495288,0.0332606,0.04182614
1420,5.02108,0.08459,0.42473316,0.0333781,0.04197361
1425,5.02073,0.08462,0.42485417,0.03349561,0.04212113
1430,5.02096,0.08459,0.42472301,0.03361312,0.04226859
1435,5.02034,0.08459,0.42467056,0.0337306,0.04241606
1440,5.02108,0.08456,0.42458252,0.03384807,0.04256347
1445,5.02034,0.08457,0.42457015,0.03396552,0.04271091
1450,5.021,0.08456,0.42457576,0.03408297,0.04285838
1455,5.02272,0.08457,0.42477143,0.03420042,0.04300582
1460,5.0212,0.08459,0.42474331,0.0343179,0.04315332
1465,5.02163,0.0846,0.4248299,0.03443539,0.04330084
1470,5.02194,0.08457,0.42470547,0.03455287,0.04344829
1475,5.02151,0.08459,0.42476953,0.03467034,0.04359577
1480,5.02104,0.0846,0.42477998,0.03478783,0.04374326
1485,5.02112,0.08458,0.42468633,0.03490532,0.04389073
1490,5.02139,0.08457,0.42465895,0.03502278,0.04403821
1495,5.02225,0.0846,0.42488235,0.03514026,0.04418572
1500,5.02163,0.08459,0.42477968,0.03525776,0.0443332
1505,5.02124,0.08461,0.42484712,0.03537526,0.04448072
1510,5.02143,0.08459,0.42476276,0.03549276,0.04462825
1515,5.02276,0.08459,0.42487527,0.03561024,0.04477575
1520,5.02214,0.08456,0.42467216,0.03572771,0.04492318
1525,5.02124,0.08458,0.42469648,0.03584517,0.04507064
1530,5.02085,0.08458,0.42466349,0.03596264,0.04521809
1535,5.02093,0.08459,0.42472047,0.03608012,0.04536552
1540,5.01936,0.0846,0.42463786,0.03619761,0.04551299
1545,5.02022,0.0846,0.42471061,0.03631511,0.04566043
1550,5.01921,0.08461,0.42467536,0.03643262,0.04580791
1555,5.02018,0.08459,0.42465703,0.03655012,0.04595537
1560,5.02046,0.08458,0.42463051,0.0366676,0.04610279
1565,5.01964,0.08458,0.42456115,0.03678507,0.04625021
1570,5.01999,0.0846,0.42469115,0.03690256,0.04639771
1575,5.02124,0.08458,0.42469648,0.03702004,0.04654515
1580,5.02022,0.08459,0.42466041,0.03713752,0.04669259
1585,5.02007,0.08459,0.42464772,0.03725501,0.04684007
1590,5.02104,0.08459,0.42472977,0.03737249,0.04698755
1595,5.02135,0.08457,0.42465557,0.03748997,0.04713503
1600,5.02214,0.08459,0.42482282,0.03760744,0.04728249
1605,5.02077,0.08458,0.42465673,0.03772492,0.04742996
1610,5.02139,0.08461,0.42485981,0.03784241,0.04757749
1615,5.02163,0.0846,0.4248299,0.03795992,0.047725
1620,5.02171,0.0846,0.42483667,0.03807742,0.04787251
1625,5.02143,0.08461,0.42486319,0.03819492,0.04802003
1630,5.02147,0.08462,0.42491679,0.03831244,0.04816755
1635,5.02061,0.08462,0.42484402,0.03842997,0.04831505
1640,5.02026,0.0846,0.424714,0.03854749,0.04846253
1645,5.02046,0.08463,0.42488153,0.03866501,0.04861009
1650,5.02159,0.08459,0.4247763,0.03878252,0.04875758
1655,5.02139,0.08462,0.42491002,0.03890003,0.04890509
1660,5.02057,0.0846,0.42474022,0.03901754,0.04905254
1665,5.01975,0.08459,0.42462065,0.03913503,0.04919999
1670,5.01987,0.0846,0.424681,0.03925253,0.04934749
1675,5.02128,0.08457,0.42464965,0.03937001,0.04949491
1680,5.0205,0.08461,0.42478451,0.03948749,0.04964241
1685,5.02053,0.08459,0.42468663,0.03960499,0.04978989
1690,5.02124,0.08456,0.42459605,0.03972246,0.04993731
1695,5.021,0.08459,0.42472639,0.03983992,0.05008479
1700,5.02124,0.08456,0.42459605,0.03995739,0.05023221
1705,5.02104,0.08455,0.42452893,0.04007483,0.05037959
1710,5.02003,0.08452,0.42429294,0.04019224,0.05052693
1715,5.02061,0.08451,0.42429175,0.04030962,0.05067426
1720,5.02077,0.08449,0.42420486,0.04042698,0.05082153
1725,5.01987,0.08447,0.42402842,0.04054431,0.05096879
1730,5.021,0.08446,0.42407366,0.04066162,0.05111602
1735,5.02038,0.08449,0.42417191,0.04077895,0.05126328
