algorithm,trunc_bits,repetition,found,collision_index,hash_evaluations,ratio_to_expected
SHA-3-256,16,2,yes,228.0,1409.0,0.71061594
SHA-3-256,16,12,yes,330.0,1491.0,1.02852307
SHA-3-256,16,18,yes,302.0,1424.0,0.94125444
SHA-3-256,16,5,yes,397.0,1965.0,1.23734442
SHA-3-256,16,1,yes,293.0,1620.0,0.91320381
SHA-3-256,16,45,yes,232.0,1103.0,0.72308288
SHA-3-256,16,46,yes,325.0,1498.0,1.01293938
SHA-3-256,16,0,yes,339.0,2308.0,1.0565737
SHA-3-256,16,37,yes,243.0,1173.0,0.75736699
SHA-3-256,16,33,yes,288.0,1348.0,0.89762013
SHA-3-256,16,48,yes,373.0,1811.0,1.16254274
SHA-3-256,16,34,yes,378.0,1826.0,1.17812642
SHA-3-256,16,25,yes,322.0,2030.0,1.00358917
SHA-3-256,16,19,yes,351.0,2404.0,1.09397453
SHA-3-256,16,11,yes,469.0,2119.0,1.46174945
SHA-3-256,16,49,yes,252.0,1491.0,0.78541761
SHA-3-256,16,21,yes,389.0,2426.0,1.21241052
SHA-3-256,16,41,yes,679.0,4096.0,2.11626413
SHA-3-256,16,24,yes,291.0,1640.0,0.90697034
SHA-3-256,16,39,yes,639.0,3075.0,1.99159467
SHA-3-256,16,43,yes,630.0,2906.0,1.96354404
SHA-3-256,16,14,yes,629.0,3064.0,1.9604273
SHA-3-256,16,42,yes,461.0,2824.0,1.43681556
SHA-3-256,16,36,yes,604.0,2827.0,1.88250889
SHA-3-256,16,27,yes,631.0,2914.0,1.96666077
SHA-3-256,16,38,yes,524.0,3356.0,1.63316996
SHA-3-256,16,47,yes,347.0,2376.0,1.08150759
SHA-3-256,24,21,yes,863.0,3913.0,0.16810898
SHA-3-256,24,9,yes,1189.0,6400.0,0.23161249
SHA-3-256,24,12,yes,3440.0,15643.0,0.67009836
SHA-3-256,24,3,yes,2360.0,11321.0,0.45971864
SHA-3-256,24,10,yes,2084.0,14192.0,0.40595494
SHA-3-256,24,30,yes,2355.0,16135.0,0.45874466
SHA-3-256,24,28,yes,3069.0,19353.0,0.59782903
SHA-3-256,24,45,yes,2926.0,13861.0,0.5699732
SHA-3-256,24,13,yes,2102.0,14438.0,0.40946127
SHA-3-256,24,46,yes,1941.0,13540.0,0.3780991
SHA-3-256,24,43,yes,2199.0,15180.0,0.42835648
SHA-3-256,24,11,yes,4133.0,27413.0,0.80509201
SHA-3-256,24,31,yes,5300.0,26485.0,1.03241899
SHA-3-256,24,7,yes,6666.0,30024.0,1.29851037
SHA-3-256,24,35,yes,2449.0,15743.0,0.47705549
SHA-3-256,24,26,yes,5011.0,30901.0,0.97612293
SHA-3-256,24,22,yes,5717.0,26851.0,1.11364893
SHA-3-256,24,41,yes,4363.0,20688.0,0.8498951
