algorithm,trunc_bits,repetition,seed_attempt,seed_state_hex,found,rho_meet_steps,mu,lambda,collision_index,hash_evaluations,expected_collision_steps,log2_collision_index,ratio_to_expected,seconds,input_a_hex,input_b_hex,collision_trunc_hex
SHA-3-256,24,24,0,0xf092db,yes,2941,1177,2941,4118,19413,5133.5747,12.007728,0.80217007,0.026383,8f42303b00d98de4ce049c0000000000,8f42303b00d98de443656d0000000000,0xab8575
SHA-3-256,24,8,0,0x0e81f3,yes,3360,3030,840,3870,23880,5133.5747,11.918118,0.75386066,0.027125,06fed7d07a49703f42b50f0000000000,06fed7d07a49703fd3cfbe0000000000,0x77e434
SHA-3-256,24,42,0,0x38aaba,yes,3801,798,3801,4599,22197,5133.5747,12.167104,0.89586697,0.026419,890ba22dcfbd7a5aeb7a0e0000000000,890ba22dcfbd7a5a20cc8b0000000000,0x2362a0
SHA-3-256,24,2,0,0xeefafc,yes,4256,1129,4256,5385,25796,5133.5747,12.394731,1.04897665,0.028326,158a1deadc5af4f9fc030c0000000000,158a1deadc5af4f909176a0000000000,0x7c436a
SHA-3-256,24,14,0,0xe7a52d,yes,4935,4840,1645,6485,37455,5133.5747,12.662891,1.26325229,0.028142,876e909222efc0b735eb350000000000,876e909222efc0b7f01c350000000000,0x47343b
SHA-3-256,24,19,0,0x998662,yes,4072,3198,1018,4216,27044,5133.5747,12.041659,0.82126009,0.028991,f6afbf24c1707856a8efb20000000000,f6afbf24c1707856df0a230000000000,0x46349d
SHA-3-256,24,29,0,0x543045,yes,3929,1796,3929,5725,26829,5133.5747,12.483060,1.11520730,0.029483,ebcb3acc6dc8c0cbfc6e000000000000,ebcb3acc6dc8c0cb4de21f0000000000,0xb61bb4
SHA-3-256,24,40,0,0x057917,yes,3367,3356,91,3447,23707,5133.5747,11.751126,0.67146193,0.028998,be8661fcbaf4bbe8f268b40000000000,be8661fcbaf4bbe876fe890000000000,0x651841
SHA-3-256,24,18,0,0x67cded,yes,4968,226,4968,5194,25744,5133.5747,12.342630,1.01177061,0.030538,0f21b2507bcbb38859b6c00000000000,0f21b2507bcbb38868114d0000000000,0xc1f5f4
SHA-3-256,24,5,0,0x7ace09,yes,3678,2322,3678,6000,27678,5133.5747,12.550747,1.16877621,0.031917,a97e5df622bbb180fc7dae0000000000,a97e5df622bbb180b5e6da0000000000,0xf0cd06
SHA-3-256,24,27,0,0x8d012b,yes,3323,2681,3323,6004,27339,5133.5747,12.551708,1.16955540,0.031707,5aaef466ef8f194dea0d730000000000,5aaef466ef8f194d839d510000000000,0x00b5b5
SHA-3-256,24,0,0,0x97ec2e,yes,4752,4487,432,4919,33068,5133.5747,12.264149,0.95820170,0.033892,7410eee6a1fc269e3b8a960000000000,7410eee6a1fc269ec935b30000000000,0xe88270
SHA-3-256,24,34,0,0x9d9fa0,yes,4172,3684,1043,4727,29338,5133.5747,12.206709,0.92080086,0.033029,d58f93688d95c871fa09080000000000,d58f93688d95c8713c05b40000000000,0xcd0212
