time_s,Voltage_V,Current_A,Capacity_Ah,Energy_Wh
1205.00000000,5.02053000,0.08185000,0.02741131,0.03447596
1210.00000000,5.02018000,0.08185000,0.02752499,0.03461865
1215.00000000,5.02073000,0.08188000,0.02763869,0.03476136
1220.00000000,5.01968000,0.08184000,0.02775239,0.03490401
1225.00000000,5.02011000,0.08185000,0.02786606,0.03504666
1230.00000000,5.01936000,0.08184000,0.02797974,0.03518929
1235.00000000,5.01901000,0.08184000,0.02809340,0.03533191
1240.00000000,5.01893000,0.08185000,0.02820708,0.03547456
1245.00000000,5.01940000,0.08182000,0.02832074,0.03561716
1250.00000000,5.01929000,0.08183000,0.02843438,0.03575975
1255.00000000,5.01839000,0.08182000,0.02854803,0.03590233
1260.00000000,5.01889000,0.08183000,0.02866167,0.03604493
1265.00000000,5.01874000,0.08179000,0.02877530,0.03618747
1270.00000000,5.01925000,0.08181000,0.02888891,0.03633005
1275.00000000,5.01913000,0.08181000,0.02900253,0.03647262
1280.00000000,5.01897000,0.08181000,0.02911616,0.03661516
1285.00000000,5.01804000,0.08186000,0.02922982,0.03675783
1290.00000000,5.01944000,0.08183000,0.02934349,0.03690042
1295.00000000,5.01854000,0.08184000,0.02945715,0.03704301
1300.00000000,5.01768000,0.08184000,0.02957082,0.03718563
1305.00000000,5.01893000,0.08184000,0.02968449,0.03732826
1310.00000000,5.01913000,0.08183000,0.02979815,0.03747086
1315.00000000,5.01874000,0.08185000,0.02991181,0.03761349
1320.00000000,5.01893000,0.08182000,0.03002547,0.03775609
1325.00000000,5.01917000,0.08183000,0.03013912,0.03789869
1330.00000000,5.01893000,0.08179000,0.03025274,0.03804122
1335.00000000,5.01862000,0.08179000,0.03036634,0.03818374
1340.00000000,5.01847000,0.08179000,0.03047994,0.03832626
1345.00000000,5.01866000,0.08176000,0.03059351,0.03846875
1350.00000000,5.01893000,0.08180000,0.03070710,0.03861130
1355.00000000,5.01905000,0.08178000,0.03082069,0.03875383
1360.00000000,5.01925000,0.08180000,0.03093429,0.03889639
1365.00000000,5.01921000,0.08178000,0.03104789,0.03903890
1370.00000000,5.01886000,0.08178000,0.03116147,0.03918142
1375.00000000,5.01909000,0.08177000,0.03127505,0.03932393
1380.00000000,5.01905000,0.08181000,0.03138865,0.03946649
1385.00000000,5.01870000,0.08180000,0.03150226,0.03960907
1390.00000000,5.01995000,0.08179000,0.03161587,0.03975160
1395.00000000,5.01874000,0.08177000,0.03172945,0.03989409
1400.00000000,5.01854000,0.08175000,0.03184301,0.04003655
1405.00000000,5.01901000,0.08175000,0.03195655,0.04017900
1410.00000000,5.01823000,0.08174000,0.03207008,0.04032144
1415.00000000,5.01870000,0.08176000,0.03218363,0.04046394
1420.00000000,5.01952000,0.08174000,0.03229717,0.04060641
1425.00000000,5.01991000,0.08174000,0.03241069,0.04074888
1430.00000000,5.01968000,0.08173000,0.03252422,0.04089134
